项目	起息时间	止息时间	投资金额	回款情况	状态	操作
定期12月期·102751016303230978	2017-06-13	2018-06-08	￥2,000	已回：￥0 应回：￥2,130.09	回款中	详情
定期12月期·101811429932040199	2017-06-02	2018-05-28	￥15,000	已回：￥466.37 应回:￥16,155.61	回款中	详情
定期12月期·101720233805381632	2017-06-01	2018-05-22	￥20,000	已回：￥594.66 应回:￥21,513.64	回款中	详情
定期12月期·101720228447158283	2017-06-01	2018-05-25	￥10,000	已回：￥304.22 应回:￥10,763.70	回款中	详情
定期12月期·101663195576434691	2017-06-01	2018-05-28	￥20,000	已回：￥626.58 应回:￥21,545.56	回款中	详情
定期12月期·101663195565686786	2017-06-01	2018-05-28	￥10,000	已回：￥313.28 应回:￥10,772.76	回款中	详情
定期12月期·101663174101598208	2017-06-01	2018-05-28	￥10,000	已回：￥311.13 应回:￥10,770.61	回款中	详情
定期12月期·101662534152257540	2017-06-01	2018-05-28	￥1,000	已回：￥31.11 应回:￥1,077.06	回款中	详情
理财计划12月期·102944921191481344	2017-06-14	2018-06-13	￥2,000	已回：￥0 应回：￥2,240	回款中	详情
网贷6月期·102179657878896646	2017-06-06	2017-12-05	￥100	已回：￥0 应回：￥102.10	回款中	详情








